time recorded,turntable temp, turntable velocity, turntable goal, turntable position, turntable torque, shoulder temp, shoulder velocity, shoulder goal, shoulder position, shoulder torque, elbow temp, elbow velocity, elbow goal, elbow position, elbow torque, wrist temp, wrist velocity, wrist goal, wrist position, wrist torque, wrist rotation temp, wrist rotation velocity, wrist rotation goal, wrist rotation position, wrist rotation torque, gripper temp, gripper velocity, gripper goal, gripper position, gripper torque
1536067960,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536067965,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536067971,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536067971,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536067976,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536067976,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536067982,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536067987,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536067987,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536067987,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536067987,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536067993,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536067998,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536067998,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536068004,23,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536068004,24,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536068009,24,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536067887,24,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536067887,24,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536068020,24,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536068020,24,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536068026,24,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536068031,24,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536068031,24,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536068037,24,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,26,0,2470,2470,1,
1536068037,24,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536068042,24,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536068042,24,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536068042,24,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536068048,24,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536068048,24,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536068053,24,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536068058,24,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536068058,24,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536068064,24,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536068064,24,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536068069,24,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536068075,24,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
1536068075,24,0,2434,2434,1,24,0,2629,2629,1,25,0,616,616,1,26,0,1195,1195,1,27,0,2048,2048,1,27,0,2470,2470,1,
